year,total_rain_in
1909,8.44
1910,9.99
1911,28.9
1912,10.790000000000001
1913,14.55
1914,24.1
1915,17.900000000000002
1917,0.04
1918,25.74
1919,9.870000000000001
1920,11.05
1921,15.37
1922,17.14
1923,6.0
1924,7.74
1925,12.75
1926,15.41
1927,19.78
1928,12.0
1929,5.3
1930,12.39
1931,17.87
1932,9.27
1933,13.32
1934,11.66
1935,15.540000000000001
1936,17.27
1937,16.31
1938,22.19
1939,13.01
1940,17.11
1941,37.97
1942,11.89
1943,18.169999999999998
1944,16.76
1945,12.83
1946,14.58
1947,3.36
1948,10.9
1949,13.280000000000001
1950,10.53
1951,13.15
1952,24.16
1953,6.37
1954,14.67
1955,17.7
1956,9.36
1957,14.03
1958,24.79
1959,9.1
1960,16.8
1961,8.02
1962,18.47
1963,16.6
1964,11.93
1965,17.03
1966,10.82
1967,15.629999999999999
1968,11.2
1969,24.5
1970,15.25
1971,10.46
1972,6.32
1973,20.94
1974,17.4
1975,11.6
1976,16.65
1977,10.84
1978,30.59
1979,17.259999999999998
1980,16.28
1981,14.790000000000001
1982,20.98
1983,34.89
1984,9.05
1985,7.31
1986,14.81
1987,14.81
1988,14.01
1989,4.28
1990,7.76
1991,19.92
1992,17.69
1993,22.37
1994,14.17
1995,26.96
1996,22.79
1997,12.73
1998,31.7
1999,14.09
2000,18.15
2001,21.47
2002,9.83
2003,10.44
2004,17.56
2005,20.42
2006,16.85
2007,8.0
2008,17.39
2009,10.580000000000002
2010,24.499999999999993
2011,13.499999999999986
2012,11.330000000000004
2013,3.5399999780952935
2014,9.969999777153134
2015,5.579999875277281
2016,15.13999966159463
2017,16.639999628067017
2018,11.61999974027276
2019,22.64999949373305
2020,11.819999735802412
2021,12.799999713897705
2022,9.829999780282378
2023,30.93999930843711
2024,16.679999662935735
2025,18.150000000000002
2026,6.92
