year,month,total_rain_in
1909,10,0.9500000000000001
1909,11,1.69
1909,12,5.8
1910,1,3.58
1910,2,0.23
1910,3,4.18
1910,9,0.84
1910,10,0.12
1910,11,0.5800000000000001
1910,12,0.46
1911,1,9.53
1911,2,3.6399999999999997
1911,3,12.41
1911,4,1.4700000000000002
1911,12,1.8499999999999999
1912,1,1.59
1912,3,6.7700000000000005
1912,4,0.85
1912,5,1.12
1912,11,0.3
1912,12,0.16
1913,1,2.88
1913,2,3.22
1913,3,0.75
1913,4,0.5
1913,5,0.15
1913,6,0.35
1913,8,1.2
1913,11,2.45
1913,12,3.0500000000000003
1914,1,11.3
1914,2,6.26
1914,3,0.97
1914,4,0.44999999999999996
1914,12,5.12
1915,1,5.34
1915,2,8.16
1915,3,0.6100000000000001
1915,4,2.14
1915,5,1.6500000000000001
1917,12,0.04
1918,1,0.41000000000000003
1918,2,11.879999999999999
1918,3,7.18
1918,8,0.2
1918,9,0.2
1918,10,0.3
1918,11,2.94
1918,12,2.63
1919,1,0.46
1919,2,2.75
1919,3,1.65
1919,4,0.06
1919,5,1.35
1919,9,0.5800000000000001
1919,10,0.18
1919,11,0.16999999999999998
1919,12,2.67
1920,1,0.39
1920,2,2.97
1920,3,3.75
1920,4,0.71
1920,9,0.03
1920,10,0.58
1920,11,1.3299999999999998
1920,12,1.29
1921,1,3.77
1921,2,1.8
1921,3,1.06
1921,4,0.34
1921,5,1.47
1921,9,0.8400000000000001
1921,10,0.32
1921,12,5.77
1922,1,4.35
1922,2,3.6
1922,3,2.58
1922,4,0.26
1922,5,0.39
1922,10,0.55
1922,11,1.26
1922,12,4.15
1923,2,1.26
1923,3,0.35
1923,4,3.6
1923,6,0.05
1923,9,0.15
1923,10,0.05
1923,11,0.18
1923,12,0.36
1924,1,0.59
1924,2,0.19
1924,3,3.15
1924,4,0.71
1924,10,0.8200000000000001
1924,11,0.8500000000000001
1924,12,1.43
1925,1,0.84
1925,2,1.75
1925,3,3.5200000000000005
1925,4,2.6300000000000003
1925,5,1.21
1925,6,0.08
1925,10,0.8200000000000001
1925,11,0.25
1925,12,1.65
1926,1,1.87
1926,2,3.12
1926,3,0.32
1926,4,4.09
1926,5,0.03
1926,10,0.49
1926,11,4.68
1926,12,0.81
1927,1,1.91
1927,2,6.02
1927,3,2.16
1927,4,1.4300000000000002
1927,5,0.08
1927,10,3.41
1927,11,0.27
1927,12,4.5
1928,1,0.12
1928,2,2.99
1928,3,2.54
1928,4,0.23
1928,5,0.92
1928,10,0.23
1928,11,2.79
1928,12,2.18
1929,1,1.7
1929,2,1.02
1929,3,1.1600000000000001
1929,4,1.21
1929,6,0.1
1929,12,0.11
1930,1,4.22
1930,2,1.45
1930,3,3.31
